ticker,date,sentiment_score,uncertainty_score,sentiment_score_qa,uncertainty_score_qa
CGC,2021-06-01,0.483297,0.003868,0.218964,0.007373
CGC,2019-11-14,0.155131,0.005518,0.120638,0.007104
CGC,2024-08-09,0.312116,0.002583,0.201257,0.00745
CMCSA,2018-01-24,0.63295,0.004463,0.239483,0.006632
CMCSA,2021-04-29,0.460003,0.004278,0.325633,0.005639
CMCSA,2019-07-25,0.597364,0.004173,0.261644,0.006158
CMCSA,2020-01-23,0.483931,0.003834,0.238689,0.005564
CMCSA,2020-07-30,0.216391,0.00334,0.194722,0.005344
CMCSA,2020-10-29,0.220048,0.006322,0.203997,0.006337
CMCSA,2020-04-30,-0.035022,0.007716,0.121187,0.005256
CMCSA,2021-07-29,0.51549,0.004032,0.253461,0.005386
CMCSA,2019-10-24,0.287393,0.00305,0.23207,0.004583
CMCSA,2018-04-25,0.526882,0.004447,0.221976,0.006795
CMCSA,2019-01-23,0.723655,0.003831,0.266975,0.006138
CMCSA,2021-10-28,0.500673,0.001874,0.216468,0.004854
CMCSA,2021-01-28,0.220685,0.003766,0.252418,0.007457
CSWI,2020-05-20,0.310586,0.003988,0.078654,0.006549
CSWI,2020-02-04,0.561174,0.006466,0.228917,0.003824
CSWI,2019-05-22,0.578552,0.0051,0.207079,0.006263
CSWI,2020-08-03,0.191868,0.00833,0.13896,0.007266
CSWI,2019-11-05,0.434269,0.006719,0.058186,0.008915
CSWI,2021-02-05,0.372704,0.005488,0.242424,0.009456
CSWI,2021-11-03,0.383815,0.007852,0.017886,0.008264
CSWI,2020-10-30,0.314506,0.008394,0.125492,0.00945
CSWI,2021-05-20,0.411797,0.007931,0.371311,0.006603
CSWI,2019-08-08,0.590003,0.00669,0.246348,0.00647
CSWI,2021-08-04,0.286686,0.004587,0.302396,0.006971
CLPT,2022-05-11,0.442056,0.01354,0.067151,0.010209
CLPT,2022-08-09,0.362464,0.007277,0.170096,0.009626
CLPT,2021-08-10,0.412465,0.009423,0.240985,0.007479
CLPT,2022-03-01,0.429861,0.010625,0.185141,0.008119
CLPT,2021-11-09,0.419709,0.009346,0.238533,0.013132
CLPT,2021-05-11,0.501498,0.009291,0.128077,0.009582
DOMO,2023-03-06,0.176227,0.006437,0.194427,0.006866
DOMO,2020-09-03,0.461413,0.006148,0.268351,0.007153
DOMO,2022-05-26,0.391366,0.006577,0.204197,0.005791
DOMO,2021-08-26,0.476465,0.009709,0.281476,0.007263
DOMO,2022-08-25,0.366186,0.008875,0.162288,0.006163
DOMO,2023-05-25,0.383783,0.007501,0.206896,0.004024
DOMO,2024-03-07,0.44466,0.006993,0.156443,0.007796
DOMO,2022-12-08,0.296532,0.00583,0.155334,0.008313
DOMO,2024-05-23,0.203368,0.007153,0.145479,0.00589
DOMO,2021-03-11,0.547483,0.004312,0.252076,0.004697
DOMO,2020-12-03,0.38418,0.005689,0.306235,0.006389
DOMO,2023-11-30,0.390058,0.003825,0.193034,0.009609
DOMO,2023-08-24,0.291414,0.00918,0.181884,0.003753
DOMO,2019-09-05,0.343876,0.007771,0.126489,0.006182
DOMO,2021-05-27,0.511345,0.005212,0.235209,0.006002
DOMO,2022-03-01,0.384065,0.005603,0.279246,0.004684
DOMO,2019-12-05,0.441056,0.009408,0.328713,0.007251
DOMO,2019-03-13,0.479322,0.009298,0.252157,0.005654
DOMO,2021-12-02,0.474716,0.005153,0.176904,0.006875
DOMO,2020-03-10,0.389379,0.008138,0.162274,0.007014
DOMO,2019-06-06,0.332571,0.005289,0.226094,0.00646
DOMO,2024-08-29,0.369922,0.009177,0.187182,0.003493
AXTI,2021-04-28,0.404939,0.011023,0.156302,0.008323
AXTI,2021-10-27,0.300365,0.010092,0.174624,0.007052
AXTI,2021-07-27,0.428052,0.011783,0.267946,0.005559
AXTI,2022-07-28,0.340699,0.00712,0.153131,0.012021
AXTI,2018-10-31,0.224634,0.011284,-0.047645,0.007989
AXTI,2022-02-16,0.461832,0.010392,0.252518,0.010896
AXTI,2021-02-18,0.451941,0.011349,0.245887,0.008059
AXTI,2022-04-28,0.295694,0.010259,0.224092,0.008708
DADA,2021-09-07,0.527817,0.004004,0.330026,0.005811
DADA,2022-08-22,0.652304,0.002095,0.325704,0.004686
